epoch,train_loss,train_acc,train_acc5,val_loss,val_acc,val_acc5,lr
1,5.454828,0.007244,0.03272,5.105481,0.020536,0.084152,0.00015875866588909273
2,4.745001,0.037315,0.146382,,,,0.00032928036219459543
3,4.171505,0.085431,0.304498,,,,0.0005948657099497468
4,3.639132,0.183421,0.510979,,,,0.0009295056412982408
5,3.314103,0.267603,0.616341,3.196599,0.288393,0.640848,0.0013004284963746527
6,3.161657,0.310996,0.666261,,,,0.0016713093883255425
7,3.116701,0.330585,0.68073,,,,0.0020058275397929256
8,3.082445,0.339916,0.691084,,,,0.0022712232169502873
9,3.033542,0.351769,0.704976,,,,0.0024415059265934617
10,2.990452,0.366573,0.713493,2.71053,0.434598,0.779464,0.0024999999996211416
11,2.911489,0.393815,0.735189,,,,0.002499926320004758
12,2.859861,0.40667,0.746416,,,,0.002499705956579603
13,2.819954,0.417807,0.757723,,,,0.0024993389352063024
14,2.762212,0.438111,0.773746,,,,0.0024988252989564413
15,2.715078,0.44819,0.782944,2.49368,0.485714,0.829688,0.002498165108107511
16,2.695389,0.454235,0.789018,,,,0.0024973584401358348
17,2.662492,0.466371,0.796302,,,,0.0024964053897074756
18,2.66964,0.46569,0.794414,,,,0.002495306068667127
19,2.64741,0.471557,0.797567,,,,0.0024940606060249873
20,2.653013,0.468552,0.797326,2.421651,0.528571,0.841295,0.0024926691479416193
21,2.635891,0.477237,0.801118,,,,0.0024911318577107992
22,2.632176,0.47412,0.799534,,,,0.0024894489157403507
23,2.624996,0.478218,0.799186,,,,0.0024876205195309762
24,2.635247,0.476386,0.800054,,,,0.0024856468836530776
25,2.623969,0.481753,0.803945,2.346191,0.540848,0.858036,0.002483528239721576
26,2.613618,0.480336,0.806567,,,,0.00248126483636873
27,2.605718,0.483146,0.807908,,,,0.0024788569392149586
28,2.610655,0.48351,0.8069,,,,0.002476304830837669
29,2.60085,0.487296,0.80847,,,,0.0024736088107380943
30,2.585543,0.490149,0.809461,2.362507,0.532366,0.855804,0.0024707691953061474
31,2.596808,0.489404,0.809029,,,,0.002467786317783289
32,2.606422,0.486166,0.806758,,,,0.0024646605282234216
33,2.601856,0.486521,0.806865,,,,0.0024613921934518103
34,2.602518,0.486107,0.806997,,,,0.0024579816970220296
35,2.604689,0.487074,0.807318,2.408665,0.530357,0.852009,0.002454429439170959
36,2.606606,0.485988,0.806928,,,,0.002450735836771806
37,2.599845,0.483899,0.810939,,,,0.0024469013232851886
38,2.609416,0.48385,0.804918,,,,0.0024429263487082665
39,2.588682,0.488808,0.810394,,,,0.0024388113795219303
40,2.597963,0.485731,0.807737,2.430317,0.506696,0.839732,0.0024345568986360584
41,2.597064,0.485434,0.811921,,,,0.0024301634053328467
42,2.601151,0.48802,0.810595,,,,0.0024256314152082134
43,2.599708,0.484327,0.806943,,,,0.0024209614601112947
44,2.595901,0.48838,0.809278,,,,0.0024161540880820254
45,2.606964,0.485325,0.806159,2.436778,0.525446,0.833705,0.002411209863286829
46,2.591735,0.489523,0.811657,,,,0.0024061293659524054
47,2.591443,0.488232,0.811679,,,,0.002400913192297644
48,2.58463,0.492407,0.813164,,,,0.0023955619544636505
49,2.57643,0.490173,0.814628,,,,0.00239007628044191
50,2.563396,0.494579,0.820535,2.339144,0.531696,0.872098,0.002384456814000591
51,2.56281,0.497899,0.818149,,,,0.002378704214608997
52,2.558083,0.500249,0.816771,,,,0.0023728191573601713
53,2.559398,0.496477,0.816145,,,,0.002366802332891676
54,2.56614,0.496606,0.818143,,,,0.0023606544473045383
55,2.557229,0.495632,0.818043,2.457479,0.504018,0.824107,0.002354376222080392
56,2.529035,0.504792,0.824944,,,,0.002347968393996802
57,2.521485,0.50541,0.82508,,,,0.0023414317150408054
58,2.544749,0.50159,0.822809,,,,0.0023347669523206597
59,2.530379,0.505197,0.824639,,,,0.00232797488797582
60,2.53257,0.50329,0.824521,2.380365,0.533705,0.866964,0.0023210563190851517
61,2.546468,0.503977,0.822111,,,,0.0023140120575733895
62,2.527651,0.507913,0.82447,,,,0.002306842930115855
63,2.506327,0.512644,0.828341,,,,0.002299549778041441
64,2.535786,0.50526,0.824256,,,,0.0022921334572338797
65,2.502779,0.513956,0.829995,2.360602,0.554241,0.855134,0.0022845948380312998
66,2.513869,0.51436,0.824839,,,,0.00227693480512409
67,2.52408,0.509752,0.824151,,,,0.0022691542574510746
68,2.502949,0.517592,0.826203,,,,0.00226125410809402
69,2.492246,0.519097,0.83209,,,,0.002253235284170481
70,2.492855,0.519692,0.829766,2.341329,0.541741,0.85558,0.002245098726724999
71,2.51244,0.509716,0.827773,,,,0.0022368453906186645
72,2.472629,0.523493,0.834384,,,,0.0022284762444170643
73,2.473811,0.526322,0.834329,,,,0.002219992270276612
74,2.476258,0.5238,0.835051,,,,0.002211394463829288
75,2.449426,0.527827,0.841161,2.348665,0.53817,0.849777,0.002202683834065801
76,2.456481,0.527799,0.837446,,,,0.0021938614032171737
77,2.461369,0.531085,0.839186,,,,0.0021849282066347827
78,2.451052,0.531945,0.838979,,,,0.0021758852926688555
79,2.45059,0.53159,0.840222,,,,0.0021667337225454403
80,2.444639,0.533799,0.84035,2.21087,0.58192,0.895536,0.002157474570241866
81,2.4325,0.537563,0.843183,,,,0.0021481089223607096
82,2.417581,0.542008,0.847679,,,,0.0021386378780022743
83,2.413335,0.541462,0.84579,,,,0.0021290625486356084
84,2.413257,0.544482,0.845536,,,,0.002119384057968068
85,2.415173,0.543923,0.845501,2.319,0.548214,0.860714,0.0021096035418134446
86,2.388625,0.547763,0.850151,,,,0.0020997221479586744
87,2.392694,0.551087,0.850883,,,,0.0020897410360291376
88,2.377682,0.553492,0.852246,,,,0.002079661377352573
